Generation: 102 | 0.359517 0.035326  | Fitness: -1.99995
Generation: 103 | 0.501112 0.454065  | Fitness: -1.99999
Generation: 104 | 0.359515 0.0353224  | Fitness: -1.99995
Generation: 105 | 0.360302 0.0423564  | Fitness: -1.99999
Generation: 106 | 0.358994 0.0413632  | Fitness: -1.99996
Generation: 107 | 0.358992 0.0412529  | Fitness: -1.99996
Generation: 108 | 0.358992 0.0412529  | Fitness: -1.99996
Generation: 109 | 0.358492 0.0410048  | Fitness: -1.9999
Generation: 110 | 0.35931 0.0466741  | Fitness: -2
Generation: 111 | 0.359258 0.0465478  | Fitness: -2
Generation: 112 | 0.359258 0.0465478  | Fitness: -2
Generation: 113 | 0.358728 0.050583  | Fitness: -2
Generation: 114 | 0.358559 0.0466028  | Fitness: -1.99997
Generation: 115 | 0.359272 0.0478614  | Fitness: -2
Generation: 116 | 0.359169 0.0482229  | Fitness: -2
Generation: 117 | 0.359039 0.0481643  | Fitness: -2
Generation: 118 | 0.359076 0.0482388  | Fitness: -2
Generation: 119 | 0.358373 0.0509068  | Fitness: -1.99999
Generation: 120 | 0.358373 0.0509068  | Fitness: -1.99999
Generation: 121 | 0.359279 0.0496433  | Fitness: -1.99999
Generation: 122 | 0.358745 0.0494492  | Fitness: -2
Generation: 123 | 0.358754 0.0494525  | Fitness: -2
Generation: 124 | 0.358728 0.049415  | Fitness: -2
Generation: 125 | 0.358736 0.0494378  | Fitness: -2
Generation: 126 | 0.358693 0.0499436  | Fitness: -2
Generation: 127 | 0.358719 0.0499345  | Fitness: -2
Generation: 128 | 0.358684 0.0499983  | Fitness: -2
Generation: 129 | 0.358684 0.0499983  | Fitness: -2
Generation: 130 | 0.358692 0.0500616  | Fitness: -2
Generation: 131 | 0.358692 0.0500616  | Fitness: -2
Generation: 132 | 0.358658 0.049964  | Fitness: -2
Generation: 133 | 0.358659 0.0500832  | Fitness: -2
Generation: 134 | 0.358659 0.0500832  | Fitness: -2
Generation: 135 | 0.35861 0.0521724  | Fitness: -2
Generation: 136 | 0.358584 0.0521206  | Fitness: -2
Generation: 137 | 0.358585 0.0521209  | Fitness: -2
Generation: 138 | 0.358585 0.0521209  | Fitness: -2
Generation: 139 | 0.358603 0.0520435  | Fitness: -2
Generation: 140 | 0.358544 0.051986  | Fitness: -2
Generation: 141 | 0.358544 0.051986  | Fitness: -2
Generation: 142 | 0.358568 0.0521305  | Fitness: -2
Generation: 143 | 0.358568 0.0521305  | Fitness: -2
Generation: 144 | 0.358555 0.0521238  | Fitness: -2
Generation: 145 | 0.358555 0.0521238  | Fitness: -2
Generation: 146 | 0.358544 0.0520802  | Fitness: -2
Generation: 147 | 0.358537 0.0521807  | Fitness: -2
Generation: 148 | 0.358537 0.0521807  | Fitness: -2
Generation: 149 | 0.358537 0.0521807  | Fitness: -2
Generation: 150 | 0.358537 0.0521807  | Fitness: -2
Generation: 151 | 0.358537 0.0521807  | Fitness: -2
Generation: 152 | 0.358129 0.0519835  | Fitness: -1.99999
Generation: 153 | 0.358091 0.0519485  | Fitness: -1.99999
Generation: 154 | 0.358089 0.0519422  | Fitness: -1.99999
Generation: 155 | 0.358089 0.0519422  | Fitness: -1.99999
Generation: 156 | 0.358069 0.0519241  | Fitness: -1.99999
Generation: 157 | 0.357863 0.0517021  | Fitness: -1.99998
Generation: 158 | 0.357863 0.0517021  | Fitness: -1.99998
Generation: 159 | 0.357863 0.0517021  | Fitness: -1.99998
Generation: 160 | 0.357858 0.0516958  | Fitness: -1.99997
Generation: 161 | 0.357854 0.0516872  | Fitness: -1.99997
Generation: 162 | 0.357834 0.0516676  | Fitness: -1.99997
Generation: 163 | 0.357834 0.0516676  | Fitness: -1.99997
Generation: 164 | 0.357815 0.051649  | Fitness: -1.99997
